title,author,Runtime
"The Husky and His White Cat Shizun: Erha He Ta De Bai Mao Shizun, Vol. 1",Rou Bao Bu Chi Rou,Length: 13 hrs and 23 mins
Heir of Twisted Lies,LJ Andrews,Length: 15 hrs and 11 mins
Love Off-Script,Tameka Sergeant,Length: 1 hr and 26 mins
Twelve Spokes of the Neighborhood,Nisha Fort,Length: 1 hr and 21 mins
The Boy Who Borrowed Shadows,Arnetta Braelle,Length: 2 hrs and 8 mins
Recall,JD Kirk,Length: 8 hrs and 26 mins
Crown of Midnight,Sarah J. Maas,Length: 12 hrs and 43 mins
A Marriage of Misfires,Vanessa Dawn Jones,Length: 1 hr and 13 mins
My Kind of Guy,Sarina Bowen,Length: 8 hrs and 10 mins
The Year I Secretly Loved You,Jerry T Whitefield Jr,Length: 57 mins
Queen of Shadows,Sarah J. Maas,Length: 20 hrs and 43 mins
The Sea Remembers Our Names,Twanica Janeen Peacock,Length: 1 hr and 35 mins
Ground State,Craig Alanson,Length: 19 hrs and 20 mins
The Cartographer of Borrowed Skies,Carol Reed,Length: 2 hrs and 39 mins
Morning Star,Pierce Brown,Length: 21 hrs and 50 mins
Black Onyx,Nikita Parmenter,Length: 9 hrs and 9 mins
Salt Letters to a Younger Me,James Joshua Charles,Length: 1 hr and 27 mins
Orchard of Unsent Goodbyes,Michael Dione Starling,Length: 1 hr and 59 mins
Whispers on Ohio Street,Hossam Aboul-magd,Length: 1 hr and 5 mins
The Lantern Story,Michelle McCoy Burnet,Length: 1 hr and 27 mins
Shattered Vows Unraveled,Tanya Ali,Length: 1 hr and 5 mins
"Smile, or You're Doing it Wrong",Andy Glaze,Length: 7 hrs and 15 mins
The Mismatched Matchmakers,Manju E George,Length: 2 hrs and 4 mins
CDL Exam Study Bundle,Drive Safely Publishing,Length: 6 hrs and 31 mins
The Noob Returns,Ryan Rimmel,Length: 17 hrs
The Clockmaker’s Promise,David Salazar,Length: 1 hr and 34 mins
Crash,Kathy Lockheart,Length: 11 hrs and 37 mins
Tarek,K T Adler,Length: 11 hrs and 35 mins
Elon Musk Decoded,Craig Beck,Length: 5 hrs and 27 mins
Whoops-a-Mate from Outer Space,Lacey Daize,Length: 5 hrs
Kane Reloaded,Dick Wybrow,Length: 9 hrs and 3 mins
The Algorithm,Jon McNeill,Length: 4 hrs and 23 mins
The Butcher's Masquerade,Matt Dinniman,Length: 23 hrs and 33 mins
The Eye of the Bedlam Bride,Matt Dinniman,Length: 26 hrs and 46 mins
"The Carrington Cove Complete Series: Boxset, Books 1-5",Harlow James,Length: 46 hrs
Forged Unity: A Space Opera Adventure,M. J. Markgraf,Length: 13 hrs and 49 mins
He Who Fights with Monsters 11: A LitRPG Adventure,"Shirtaloon,Travis Deverell",Length: 26 hrs and 19 mins
What a Gentle Woman Will Do,Jennifer Jackson,Length: 1 hr and 26 mins
Daughter of the Wrong Name,Tamarisk Booker,Length: 1 hr and 9 mins
Expansion,John Conroe,Length: 9 hrs and 5 mins
Hearts Aligned,Gerald Sternberg,Length: 1 hr and 4 mins
Room 21,Jessica Huntley,Length: 8 hrs and 56 mins
A Deadly Inheritance,Kelley Armstrong,Length: 12 hrs and 38 mins
The Distance Between Heartbeats,Terrie Annette Jezierski,Length: 1 hr and 39 mins
Tower of Dawn,Sarah J. Maas,Length: 22 hrs and 39 mins
The Hero of Ages,Brandon Sanderson,Length: 27 hrs and 25 mins
Matabar 2,Kirill Klevanski,Length: 32 hrs and 39 mins
The Heiress’s Secret Bargain,Andre Walker,Length: 1 hr and 25 mins
Lost and Found Love,Holly Zajac,Length: 1 hr and 17 mins
Some Scars Wear Roses,Patricia Velazquez,Length: 1 hr and 14 mins
Theo,Riley Edwards,Length: 6 hrs and 36 mins
The Nightingale,Kristin Hannah,Length: 17 hrs and 19 mins
Ascending,Nicole Pyland,Length: 10 hrs and 56 mins
Bound by Fate,Susan Michelle,Length: 1 hr and 13 mins
Seamage,Terry Mancour,Length: 21 hrs and 41 mins
Shards of Stardust,Rachel August,Length: 1 hr and 22 mins
Sherlock Holmes: The Definitive Collection,"Arthur Conan Doyle,Stephen Fry - introductions",Length: 71 hrs and 57 mins
Scalpel of Betrayal,Ludger Duchette,Length: 1 hr and 14 mins
A Court of Frost and Starlight,Sarah J. Maas,Length: 6 hrs and 23 mins
Heir of Fire,Sarah J. Maas,Length: 17 hrs and 56 mins
Holiday Pup-capade,Jaime Samms,Length: 2 hrs and 26 mins
The Martian,Andy Weir,Length: 10 hrs and 59 mins
The Well of Ascension,Brandon Sanderson,Length: 28 hrs and 56 mins
Oathbringer,Brandon Sanderson,Length: 55 hrs and 5 mins
The Gate of the Feral Gods,Matt Dinniman,Length: 18 hrs and 3 mins
He Who Fights with Monsters 9,"Shirtaloon,Travis Deverell",Length: 28 hrs and 3 mins
She Made Me Do It,Anna-Lou Weatherley,Length: 10 hrs and 48 mins
Empire of Storms,Sarah J. Maas,Length: 25 hrs and 18 mins
The Long Way Without Maps,CALLUM PATRICK PATEL,Length: 1 hr
House of Sky and Breath,Sarah J. Maas,Length: 27 hrs and 42 mins
Finding the Lost Girls,"Paul Holes,Peter McDonnell",Length: 4 hrs and 24 mins
He Who Fights with Monsters 2,"Shirtaloon,Travis Deverell",Length: 22 hrs and 1 min
Golden Son,Pierce Brown,Length: 19 hrs and 3 mins
Journey to the Elderoak,K. M. Gordon,Length: 11 hrs and 43 mins
The Chronicles of Narnia Complete Audio Collection,C. S. Lewis,Length: 33 hrs and 45 mins
Words of Radiance,Brandon Sanderson,Length: 48 hrs and 15 mins
Everybody's Favorite Guy,Katherine Center,Length: 1 hr and 20 mins
Let the Dead Sleep,Michael Wood,Length: 8 hrs and 51 mins
The Space Within Season 2,"Josh Fagin,Greg O'Connor",Length: 4 hrs and 58 mins
A Game of Thrones,George R. R. Martin,Length: 33 hrs and 46 mins
Siren Ink,Rory Steele,Length: 5 hrs and 43 mins
This Inevitable Ruin,Matt Dinniman,Length: 28 hrs and 40 mins
The Housemaid Is Watching,Freida McFadden,Length: 11 hrs and 42 mins
The Two Towers,J. R. R. Tolkien,Length: 20 hrs and 46 mins
"Harry Potter and the Chamber of Secrets, Book 2",J.K. Rowling,Length: 9 hrs and 2 mins
The Umbrella That Stole the Rain,Patricia Dale Case,Length: 2 hrs and 31 mins
A Vengeful God,"David Archer,Blake Banner",Length: 5 hrs and 9 mins
A Clash of Kings,George R. R. Martin,Length: 37 hrs and 12 mins
Heaven's River,Dennis E. Taylor,Length: 16 hrs and 57 mins
Echo Protocol,Thomas Rodriguez Sunniland,Length: 1 hr and 44 mins
A Fire Unbound,Sarah Chisum,Length: 1 hr and 1 min
The Princess Guard Contract,Chase Kilgore,Length: 9 hrs and 40 mins
House of Flame and Shadow,Sarah J. Maas,Length: 29 hrs and 42 mins
The Journey Without Directions,DAMIEN HUGHES REES,Length: 1 hr
Black Out Loud,Geoff Bennett,Length: 9 hrs and 56 mins
"Harry Potter and the Order of the Phoenix, Book 5",J.K. Rowling,Length: 26 hrs and 28 mins
"All Jobs and Classes! I Just Wanted One Skill, Not Them All!",Comedian0 L,Length: 25 hrs and 13 mins
Gone Before Goodbye,"Harlan Coben,Reese Witherspoon",Length: 10 hrs and 34 mins
The Reluctant Dungeon 3,L. Eclaire,Length: 17 hrs and 58 mins
"Harry Potter and the Deathly Hallows, Book 7",J.K. Rowling,Length: 21 hrs and 36 mins
Red Rising,Pierce Brown,Length: 16 hrs and 12 mins
Scissors and Sparks,Toya M Turner,Length: 1 hr and 15 mins
House of Earth and Blood,Sarah J. Maas,Length: 27 hrs and 50 mins
Beyond Nitro: Untold Stories from the WCW Era,Guy Evans,Length: 13 hrs and 10 mins
Clifton Forge Series,Devney Perry,Length: 57 hrs and 28 mins
Dark Age,Pierce Brown,Length: 33 hrs and 58 mins
Wings of Night,Ella Walker Henderson,Length: 11 hrs and 3 mins
The Bodies on Horse Heaven Hill,D.D. Black,Length: 7 hrs and 26 mins
A Storm of Swords,George R. R. Martin,Length: 47 hrs and 34 mins
A Court of Wings and Ruin,Sarah J. Maas,Length: 25 hrs and 9 mins
One Last Summer,Andre Walker,Length: 1 hr and 37 mins
Wild Dark Shore,Charlotte McConaghy,Length: 9 hrs and 58 mins
Kingdom of Ash,Sarah J. Maas,Length: 33 hrs and 11 mins
People We Meet on Vacation,Emily Henry,Length: 10 hrs and 46 mins
The Housemaid,Freida McFadden,Length: 9 hrs and 46 mins
A Court of Mist and Fury,Sarah J. Maas,Length: 23 hrs and 16 mins
Quicksilver,Callie Hart,Length: 20 hrs and 41 mins
Survival Line,William Stone,Length: 5 hrs and 44 mins
Born to Flourish,"Richard J. Davidson PhD,Cortland Dahl PhD",Length: 8 hrs and 39 mins
Landon,Landon Donovan,Length: 9 hrs
The Stimulated Mind,Tommy Wood,Length: 16 hrs and 33 mins
Ape Escape,Stuart Gibbs,Length: 7 hrs and 53 mins
The Fellowship of the Ring,J. R. R. Tolkien,Length: 22 hrs and 38 mins
Carl's Doomsday Scenario,Matt Dinniman,Length: 11 hrs and 28 mins
In a Second,Kate Canterbary,Length: 15 hrs and 13 mins
CompTIA A+ 220-1201 & 220-1202 Exam Test Prep Computing Technology Industry Association - Audio Study Guide,"Samuel Davidson,Rebecca Davidson",Length: 31 hrs and 27 mins
Fibromyalgia: Restore Your Well-Being Through a Holistic and Practical Approach,DR ONIX,Length: 4 hrs and 29 mins
The Secret of Secrets,Dan Brown,Length: 22 hrs and 50 mins
The Way of Kings,Brandon Sanderson,Length: 45 hrs and 30 mins
Iron Flame,Rebecca Yarros,Length: 28 hrs and 16 mins
Shadows of the Heartline,Sabine Arendt,Length: 2 hrs and 49 mins
Fourth Wing,Rebecca Yarros,Length: 22 hrs and 2 mins
Bearly Hanging On,Sam Hall,Length: 11 hrs and 45 mins
Harry Potter and the Chamber of Secrets (Full-Cast Edition),J.K. Rowling,Length: 9 hrs and 37 mins
Where the Truth Lies,Katherine Greene,Length: 10 hrs and 2 mins
Harry Potter and the Sorcerer’s Stone (Full-Cast Edition),J.K. Rowling,Length: 8 hrs and 41 mins
A Court of Silver Flames,Sarah J. Maas,Length: 26 hrs and 5 mins
The Alpha's Envy,Reece Barden,Length: 2 hrs and 19 mins
Sexy Nerd (Revised Edition),Kayley Loring,Length: 8 hrs and 53 mins
More Than Just Luck,Greg Wier,Length: 11 hrs and 34 mins
He Who Fights with Monsters: A LitRPG Adventure,"Shirtaloon,Travis Deverell",Length: 28 hrs and 56 mins
Defiance of the Fall 2,"TheFirstDefier,JF Brink",Length: 24 hrs and 30 mins
The Primal Hunter 2,Zogarth,Length: 19 hrs and 25 mins
Harry Potter and the Order of the Phoenix (Full-Cast Edition),J.K. Rowling,Length: 26 hrs and 39 mins
Throne of Glass,Sarah J. Maas,Length: 13 hrs and 3 mins
48 Laws of Power,Robert Greene,Length: 23 hrs and 6 mins
The Things We Never Said,Shannon McCracken,Length: 1 hr and 13 mins
The Bosses of the Bronx,Mike Vaccaro,Length: 12 hrs and 47 mins
The Reality of Wanting My Bully,"Lexi Amber,Bec Benson",Length: 12 hrs and 39 mins
Reparenting the Inner Child,Nicole LePera,Length: 13 hrs and 25 mins
Daughter of Crows,Mark Lawrence,Length: 14 hrs and 30 mins
Sunrise on the Reaping (The Hunger Games),Suzanne Collins,Length: 12 hrs and 48 mins
"Harry Potter and the Half-Blood Prince, Book 6",J.K. Rowling,Length: 18 hrs and 32 mins
The Man Behind the Perfect Date,Phyllis Kivett,Length: 1 hr and 19 mins
Anatomy of an Alibi,Ashley Elston,Length: 9 hrs and 39 mins
Starship New Jersey Box Set: The Complete 10-Book SciFi Series,Scott Bartlett,Length: 68 hrs and 30 mins
"Nicomachean Ethics Aristotle, Complete Edition: The New Modern English Translation (Translated and Annotated)",Aristotle,Length: 12 hrs and 22 mins
The Housemaid's Secret,Freida McFadden,Length: 9 hrs and 44 mins
The Fellowship of the Ring,J. R. R. Tolkien,Length: 19 hrs and 7 mins
Dog Training,AJ Austin,Length: 43 mins
Enemy of My Enemy,Alex Segura,Length: 8 hrs and 28 mins
Never Lie,Freida McFadden,Length: 7 hrs and 20 mins
Harry Potter and the Prisoner of Azkaban (Full-Cast Edition),J.K. Rowling,Length: 11 hrs and 32 mins
Only the Lovely,Isabel Jolie,Length: 9 hrs and 45 mins
"Harry Potter and the Sorcerer's Stone, Book 1",J.K. Rowling,Length: 8 hrs and 18 mins
Love Song,Elle Kennedy,Length: 13 hrs and 23 mins
Dune,Frank Herbert,Length: 21 hrs and 2 mins
Rise of the Weakest Summoner: Volume XI,J.R. Saileri,Length: 16 hrs and 58 mins
The Last Light,pirateaba,Length: 52 hrs and 17 mins
Dark Reflections,Madeline Vaughn,Length: 8 hrs and 18 mins
Dune Messiah,Frank Herbert,Length: 8 hrs and 57 mins
The Laws of Human Nature,Robert Greene,Length: 28 hrs and 26 mins
Black Ops,Craig Alanson,Length: 16 hrs and 44 mins
Armageddon,Craig Alanson,Length: 17 hrs and 51 mins
"Fortune Academy, Books 1-10",J.R. Thorn,Length: 43 hrs and 26 mins
"Unintended Cultivator, Volume Eight",Eric Dontigney,Length: 13 hrs and 50 mins
Beware of Chicken 2: A Xianxia Cultivation Novel,Casualfarmer,Length: 18 hrs and 7 mins
The Hard Line,Mark Greaney,Length: 15 hrs and 2 mins
He Who Fights with Monsters 10,"Shirtaloon,Travis Deverell",Length: 25 hrs and 18 mins
Winter Solstice,pirateaba,Length: 34 hrs and 14 mins
Hercule Poirot: The Complete Short Stories,Agatha Christie,Length: 35 hrs and 5 mins
Killer Motives,Bonnie Traymore,Length: 7 hrs and 42 mins
A Fire Unbound,Sarah Chisum,Length: 1 hr and 1 min
Wind and Truth,Brandon Sanderson,Length: 62 hrs and 48 mins
One Last Summer,Andre Walker,Length: 1 hr and 37 mins
Confession,Rina Saint,Length: 5 hrs and 41 mins
Heart the Lover,Lily King,Length: 5 hrs and 52 mins
The Wings That Bind,Briar Boleyn,Length: 16 hrs and 48 mins
Renegades,Craig Alanson,Length: 17 hrs and 7 mins
The Complete Poppy War Trilogy,R. F. Kuang,Length: 66 hrs and 29 mins
The Subtle Art of Not Giving a F*ck,Mark Manson,Length: 5 hrs and 17 mins
Defiance of the Fall 2,"TheFirstDefier,JF Brink",Length: 24 hrs and 30 mins
The Primal Hunter 11,Zogarth,Length: 23 hrs and 31 mins
Dungeon Crawler Carl,Matt Dinniman,Length: 13 hrs and 31 mins
A Vengeful God,"David Archer,Blake Banner",Length: 5 hrs and 9 mins
Onyx Storm,Rebecca Yarros,Length: 23 hrs and 52 mins
The Art of Seduction,Robert Greene,Length: 5 hrs and 9 mins
Defiance of the Fall 7,"TheFirstDefier,JF Brink",Length: 23 hrs and 3 mins
He Who Fights with Monsters 12: A LitRPG Adventure,"Shirtaloon,Travis Deverell",Length: 19 hrs and 26 mins
A Place Beyond Goodbye,John Phillips,Length: 1 hr and 30 mins
Fae and Fare,pirateaba,Length: 61 hrs and 4 mins
Remarkably Bright Creatures,Shelby Van Pelt,Length: 11 hrs and 16 mins
The Devils They Are,Steph Macca,Length: 10 hrs and 16 mins
Love Me Like You Shouldn't,Harper Bliss,Length: 5 hrs and 49 mins
The Village Bookshop,"Josie Adams,Audible Sleep",Length: 1 hr and 4 mins
The Darkwood Trilogy,Anthea Sharp,Length: 33 hrs and 27 mins
The Widow,John Grisham,Length: 14 hrs and 23 mins
Rhythm of War,Brandon Sanderson,Length: 57 hrs and 26 mins
Historiographical Approach - The Resurrection of Jesus,Lyle Blekar,Length: 20 hrs and 32 mins
The Things We Leave Unfinished,Rebecca Yarros,Length: 14 hrs and 32 mins
Unmapped,Dakota Krout,Length: 16 hrs and 13 mins
Valkyrie,Craig Alanson,Length: 19 hrs and 45 mins
Star Wars: Darth Plagueis,James Luceno,Length: 14 hrs and 45 mins
The Cultural Tutor’s Grand Tour: The Story of Europe in Six Cities,"Cup and Nuzzle,Sheehan Quirke",Length: 4 hrs and 13 mins
You with the Sad Eyes,Christina Applegate,Length: 8 hrs and 27 mins
Crucible,Travis Bagwell,Length: 31 hrs and 23 mins
Savage Revenge,Kate Oliver,Length: 8 hrs and 14 mins
Wicked Devil,Sienna Cross,Length: 11 hrs and 37 mins
Haunting Adeline,H. D. Carlton,Length: 16 hrs and 45 mins
52 Weeks of Systematic Theology for Kids,Sarah Grace Carter,Length: 7 hrs and 47 mins
Indulge,Luna Mason,Length: 12 hrs and 5 mins
The Women,Kristin Hannah,Length: 14 hrs and 57 mins
The Teacher,Freida McFadden,Length: 9 hrs and 35 mins
The Reluctant Dungeon 3,L. Eclaire,Length: 17 hrs and 58 mins
He Who Fights with Monsters 8,"Shirtaloon,Travis Deverell",Length: 18 hrs and 12 mins
Return to Edan,Philip Chase,Length: 22 hrs and 47 mins
Defiance of the Fall 16,"TheFirstDefier,JF Brink",Length: 22 hrs and 17 mins
Reaper and Ruin,Elle Thorpe,Length: 12 hrs and 12 mins
Heart of a Goon,Jahquel J.,Length: 12 hrs and 29 mins
The Holy Bible: King James Version,King James Bible,Length: 82 hrs and 53 mins
Crash & Carnage,Emma Slate,Length: 11 hrs and 44 mins
The Midnight Croissant,Bonnie Solomon,Length: 9 hrs and 56 mins
He Who Fights with Monsters 12: A LitRPG Adventure,"Shirtaloon,Travis Deverell",Length: 19 hrs and 26 mins
